"id";"subject_type";"subject_value";"relation_type";"relation_value";"object_type";"object_value";"confidence"
17621;"ORGANIZATION";"Kamloops Location";"O";"be in";"LOCATION";"British Columbia";1.0
17622;"PERSON";"Arjun Singh";"O";"be • deputy mayor of";"PERSON";"Peter Milobar Todd Stone";1.0
17623;"LOCATION";"Thompson River";"O";"be near";"LOCATION";"Kamloops Lake";1.0
17624;"LOCATION";"Hudson";"O";"of";"LOCATION";"Bay brigade trail";1.0
17625;"LOCATION";"Kamloops";"O";"annex";"PERSON";"Barnhartvale";1.0
17626;"ORGANIZATION";"Highland Valley copper Mine";"O";"be in";"LOCATION";"Logan Lake";1.0
17627;"LOCATION";"Kamloops";"O";"be home to";"LOCATION";"Fulton Field";1.0
17628;"LOCATION";"Kamloops";"O";"be in";"LOCATION";"Fraser River";1.0
17629;"LOCATION";"Utah";"O";"be in";"LOCATION";"US";1.0
17630;"ORGANIZATION";"Sandman Centre Kamloops Rattlers";"O";"be sport venue established championships kamloops blazers whl ice hockey of";"ORGANIZATION";"Sportsedit Club League";1.0
17631;"PERSON";"Wade Simmons";"O";"be member of";"ORGANIZATION";"Mountain Bike Hall of Fame";1.0
17632;"LOCATION";"Kamloops";"O";"be feature by";"PERSON";"Greg Stump";1.0
17633;"ORGANIZATION";"Kamloops Bike Ranch";"O";"open along";"LOCATION";"Highland Drive";1.0
17634;"ORGANIZATION";"Kamloops rotary skatepark";"O";"be at";"LOCATION";"McArthur Island Park";1.0
17635;"ORGANIZATION";"Thompson Okanagan Junior Lacrosse League";"O";"have";"ORGANIZATION";"Kamloops Junior B Rattlers";1.0
17636;"ORGANIZATION";"Junior Football League";"O";"have";"ORGANIZATION";"Kamloops bronco";1.0
17637;"LOCATION";"Kamloops";"O";"host hockey day with";"PERSON";"Ron MacLean";1.0
17638;"LOCATION";"Kamloops";"O";"be home to";"ORGANIZATION";"Kamloops Sports Hall";1.0
17639;"PERSON";"John Stewart";"O";"be of";"ORGANIZATION";"Kamloops Museum & Archives";1.0
17640;"PERSON";"John Stewart";"O";"be of";"ORGANIZATION";"Kamloops Museum & Archives";1.0
17641;"PERSON";"Ann";"O";"'s academy be";"ORGANIZATION";"Catholic";1.0
17642;"ORGANIZATION";"House Cache Creek Ashcroft Lillooet Thompson Rivers University";"O";"be in";"LOCATION";"Clearwater Barriere Chase Williams Lake Mile";1.0
17643;"PERSON";"Murray Baron";"O";"be ice hockey player of";"ORGANIZATION";"nhl";1.0
17644;"PERSON";"Rick Boh";"O";"be player of";"ORGANIZATION";"NFL";1.0
17645;"PERSON";"Craig Endean";"O";"be ice hockey player of";"ORGANIZATION";"nhl";1.0
17646;"PERSON";"Murray Kennett";"O";"be olympics of";"LOCATION";"Sochi";1.0
17647;"PERSON";"Doug Lidster";"O";"be ice hockey player of";"ORGANIZATION";"WHA";1.0
17648;"PERSON";"Steve Marr";"O";"be ice hockey player of";"ORGANIZATION";"nhl";1.0
17649;"PERSON";"Spencer McLennan";"O";"be ice hockey player of";"ORGANIZATION";"nhl";1.0
17650;"PERSON";"Don Moen";"O";"be football player of";"ORGANIZATION";"cfl";1.0
