"id";"subject_type";"subject_value";"relation_type";"relation_value";"object_type";"object_value";"confidence"
17367;"PERSON";"Lardinois";"O";"be ^ of";"PERSON";"Ken Yeung";1.0
17368;"ORGANIZATION";"MIT";"O";"at";"ORGANIZATION";"Athena";1.0
17369;"PERSON";"Trevor";"O";"be by";"PERSON";"Sandy";1.0
17370;"ORGANIZATION";"Quantum Link";"O";"make";"ORGANIZATION";"AOL Instant Messenger";1.0
17371;"ORGANIZATION";"AOL";"O";"acquire";"PERSON";"Mirabilis";1.0
17372;"ORGANIZATION";"IBM";"O";"buy";"ORGANIZATION";"Ubique";1.0
17373;"LOCATION";"United Statesedit";"O";"be in";"LOCATION";"United States";1.0
17374;"ORGANIZATION";"Facebook";"O";"be through";"ORGANIZATION";"Facebook Messenger";1.0
17375;"ORGANIZATION";"IBM";"O";"be fetion gadu-gadu groupme of";"ORGANIZATION";"Facebook Messenger FaceTime";1.0
17376;"ORGANIZATION";"Norsk Norsk";"O";"be ????? ??????? lietuvi? magyar nederlands ??? of";"ORGANIZATION";"Hrvatski Bahasa Indonesia Interlingua Italiano";1.0
17377;"PERSON";"Kendra Sunderland";"O";"be webcam girl of";"ORGANIZATION";"Oregon State";1.0
17378;"LOCATION";"Florida";"O";"be south of";"ORGANIZATION";"NBC";1.0
17379;"PERSON";"Harlan Mills";"O";"be by";"ORGANIZATION";"IBM";1.0
17380;"PERSON";"Ralph";"O";"be ^ of";"ORGANIZATION";"Wiley-IEEE Computer Society Press";1.0
17381;"ORGANIZATION";"Category Commons";"O";"be related field computer science computer engineering project management risk management systems engineering of";"PERSON";"Royce James Rumbaugh Mary Shaw Peri Tarr Elaine Weyuker Niklaus Wirth Edward Yourdon";1.0
17382;"ORGANIZATION";"Digital";"O";"be library computing platform of";"ORGANIZATION";"Digital";1.0
17383;"PERSON";"Chris Wanstrath";"O";"be ceo of";"PERSON";"Tom Preston-Werner Chris Wanstrath PJ Hyett";1.0
17384;"PERSON";"Andreessen Horowitz";"O";"be investor of";"ORGANIZATION";"GitHub";1.0
17385;"PERSON";"GitHub";"O";"open office in";"LOCATION";"Japan";1.0
17386;"PERSON";"GitHub";"O";"be block in";"LOCATION";"Russia";1.0
