"id";"subject_type";"subject_value";"relation_type";"relation_value";"object_type";"object_value";"confidence"
233;"LOCATION";"New York City";"O";"be from";"ORGANIZATION";"Wikipedia";1.0
234;"LOCATION";"new Netherland Province";"O";"be of";"LOCATION";"New York";1.0
235;"PERSON";"Bill de Blasio";"O";"be • mayor of";"ORGANIZATION";"New York City Council";1.0
236;"ORGANIZATION";"Hudson Valley Capital District North Country Central New York Southern Tier Western New York";"O";"be of";"LOCATION";"Downstate New York";1.0
237;"LOCATION";"New York City";"O";"be also city in";"LOCATION";"United States";1.0
238;"ORGANIZATION";"NYC";"O";"have";"ORGANIZATION";"MSA";1.0
239;"LOCATION";"New York";"O";"be after";"PERSON";"Charles II";1.0
240;"LOCATION";"Manhattan";"O";"have";"LOCATION";"Chinatown";1.0
241;"PERSON";"James II";"O";"be of";"LOCATION";"England";1.0
242;"LOCATION";"Manhattan";"O";"would become";"LOCATION";"Brooklyn";1.0
243;"LOCATION";"Río de San Antonio";"O";"river 's";"PERSON";"Anthony";1.0
244;"LOCATION";"England";"O";"rename";"LOCATION";"New York";1.0
245;"ORGANIZATION";"Stuyvesant";"O";"be of";"LOCATION";"New Amsterdam";1.0
246;"ORGANIZATION";"Stuyvesant";"O";"surrender";"ORGANIZATION";"New Amsterdam";1.0
247;"PERSON";"James II";"O";"be of";"LOCATION";"England";1.0
248;"LOCATION";"Manhattan";"O";"be of";"PERSON";"John Peter Zenger";1.0
249;"LOCATION";"New York";"O";"be last capital of";"LOCATION";"U.S";1.0
250;"ORGANIZATION";"Supreme Court";"O";"be of";"LOCATION";"United States";1.0
251;"LOCATION";"New York";"O";"have surpass";"LOCATION";"Philadelphia";1.0
252;"LOCATION";"Manhattan";"O";"have";"LOCATION";"Italy";1.0
253;"LOCATION";"North Tower";"O";"be into";"LOCATION";"South Tower";1.0
254;"LOCATION";"Manhattan Island";"O";"be at";"LOCATION";"New York City";1.0
255;"LOCATION";"Hudson River";"O";"flow into";"LOCATION";"New York Bay";1.0
256;"LOCATION";"Hudson River";"O";"separate city from";"LOCATION";"U.S";1.0
257;"LOCATION";"East River";"O";"flow from";"LOCATION";"Long Island Sound";1.0
