"id";"subject_type";"subject_value";"relation_type";"relation_value";"object_type";"object_value";"confidence"
17605;"PERSON";"Yves Edwards";"O";"be veteran of";"ORGANIZATION";"MMA";1.0
17606;"PERSON";"Sherdog";"O";"have affiliate with";"ORGANIZATION";"ESPN";1.0
17607;"PERSON";"Johnson";"O";"have";"PERSON";"Perl";1.0
17608;"ORGANIZATION";"Video Arcade Preservation Society";"O";"'s statistics be";"ORGANIZATION";"vaps";1.0
17609;"ORGANIZATION";"American Chemical Society";"O";"lobby";"LOCATION";"U.S";1.0
17610;"LOCATION";"Metropolitan";"O";"be in";"LOCATION";"New York City";1.0
17611;"ORGANIZATION";"Open Security Foundation";"O";"be conceive by";"PERSON";"Chris Sullo";1.0
17612;"ORGANIZATION";"FIZ Karlsruhe";"O";"be in";"LOCATION";"Europe";1.0
17613;"ORGANIZATION";"National Institute of Standards and Technology";"ORGANIZATION";"of institute be";"ORGANIZATION";"NIST";1.0
17614;"ORGANIZATION";"NewsKnowledge";"O";"be base in";"LOCATION";"Zürich";1.0
17615;"ORGANIZATION";"Turner Broadcasting System";"O";"on";"ORGANIZATION";"TNT";1.0
17616;"ORGANIZATION";"MGM/UA";"O";"sign deal with";"ORGANIZATION";"turner";1.0
17617;"ORGANIZATION";"Turner Broadcasting System";"O";"merge with";"ORGANIZATION";"Time Warner";1.0
17618;"ORGANIZATION";"MGM";"O";"pay";"ORGANIZATION";"Warner Bros";1.0
17619;"PERSON";"Camille";"O";"be film of";"PERSON";"Rudolph Valentino";1.0
17620;"PERSON";"Ajit Pai";"O";"be chairman of";"ORGANIZATION";"FCC";1.0
17621;"ORGANIZATION";"wgbh-tv";"O";"be member station of";"ORGANIZATION";"Boston PBS";1.0
17622;"ORGANIZATION";"Paramount";"O";"currently own by";"ORGANIZATION";"Viacom";1.0
17623;"ORGANIZATION";"Sony";"O";"be through";"ORGANIZATION";"Sony Pictures Television";1.0
17624;"PERSON";"Smith";"O";"go to";"LOCATION";"Washington";1.0
17625;"ORGANIZATION";"Turner Classic movie";"O";"be through";"ORGANIZATION";"Warner Home Video";1.0
17626;"ORGANIZATION";"TCM";"O";"be carry on";"ORGANIZATION";"Shaw Cable";1.0
17627;"ORGANIZATION";"Rogers Cable";"O";"offer";"ORGANIZATION";"TCM";1.0
17628;"ORGANIZATION";"D&B Hoovers";"O";"be found by";"PERSON";"Gary Hoover";1.0
17629;"PERSON";"Hoover";"O";"be start by";"PERSON";"Gary Hoover";1.0
17630;"ORGANIZATION";"Storage Area Network";"O";"be in";"LOCATION";"Cologne";1.0
17631;"ORGANIZATION";"Institute for Humanities Computing";"O";"be at";"ORGANIZATION";"University of Cologne";1.0
17632;"LOCATION";"Berlin";"O";"be zu of";"PERSON";"antikensammlung der Staatlichen Museen";1.0
17633;"LOCATION";"Bibliotheca Alexandrina";"O";"be in";"LOCATION";"Egypt";1.0
17634;"LOCATION";"San Francisco";"O";"in";"LOCATION";"Richmond District";1.0
17635;"ORGANIZATION";"American University";"O";"be in";"LOCATION";"Cairo";1.0
17636;"ORGANIZATION";"University of Illinois";"O";"be at";"ORGANIZATION";"Urbana-Champaign";1.0
17637;"PERSON";"John Perry Barlow";"O";"identify";"PERSON";"Bob Weir";1.0
17638;"ORGANIZATION";"Congress";"O";"be in";"LOCATION";"United States";1.0
17639;"PERSON";"Pavel Rychlý";"O";"be from";"ORGANIZATION";"natural language Processing Laboratory";1.0
17640;"ORGANIZATION";"Masaryk University";"O";"be in";"LOCATION";"Brno";1.0
17641;"ORGANIZATION";"National Library of Medicine";"ORGANIZATION";"of library be";"ORGANIZATION";"NLM";1.0
17642;"PERSON";"Cheney";"O";"be in";"LOCATION";"Kansas City";1.0
17643;"PERSON";"Andrade";"O";"be to";"LOCATION";"Zúñíga";1.0
17644;"ORGANIZATION";"true West Magazine";"O";"be such as";"LOCATION";"shooting usa";1.0
17645;"PERSON";"Archie Bahm";"O";"be at";"ORGANIZATION";"University of New Mexico";1.0
17646;"ORGANIZATION";"State University of New York";"O";"be at";"LOCATION";"Buffalo";1.0
17647;"PERSON";"Jim Tipton";"O";"be by";"LOCATION";"Salt Lake City";1.0
17648;"LOCATION";"SeatGuru.com";"O";"be incorporate in";"LOCATION";"Seattle";1.0
17649;"ORGANIZATION";"Mandel School of Applied Social Sciences";"O";"be in";"LOCATION";"Cleveland";1.0
17650;"ORGANIZATION";"Mandel School of Applied Social Sciences";"O";"be at";"ORGANIZATION";"Case Western Reserve University";1.0
17651;"PERSON";"Henry IV";"O";"again move to";"LOCATION";"Collège de Clermont";0.15377660881103794
17652;"PERSON";"Abbé Louvois";"O";"be succeed by";"PERSON";"Abbé Bignon";1.0
17653;"ORGANIZATION";"ProQuest LLC";"O";"be";"LOCATION";"Ann Arbor";1.0
17654;"ORGANIZATION";"ProQuest";"O";"be part of";"ORGANIZATION";"Cambridge Information Group";1.0
17655;"ORGANIZATION";"University Microfilms";"O";"be to";"ORGANIZATION";"Xerox University Microfilms";1.0
17656;"ORGANIZATION";"University Publications of America";"ORGANIZATION";"of publications be";"ORGANIZATION";"UPA";1.0
17657;"ORGANIZATION";"ProQuest";"O";"acquire";"LOCATION";"Ebrary";1.0
17658;"ORGANIZATION";"ProQuest";"O";"acquire";"ORGANIZATION";"Ebook Library";1.0
17659;"ORGANIZATION";"ProQuest";"O";"acquire";"ORGANIZATION";"Alexander Street Press";1.0
17660;"PERSON";"Andy Krieg";"O";"take over list from";"PERSON";"Hank Driskill";1.0
17661;"PERSON";"Huong Hoang";"O";"be of";"LOCATION";"Texas";1.0
17662;"ORGANIZATION";"Court of Appeals";"O";"be for";"ORGANIZATION";"Ninth Circuit";1.0
17663;"ORGANIZATION";"GMD";"O";"be host at";"ORGANIZATION";"Max Planck Institute of molecular plant Physiology";1.0
17664;"ORGANIZATION";"CBG";"O";"be found by";"PERSON";"Alan Light";1.0
17665;"PERSON";"cat yronwode";"O";"succeed";"PERSON";"Bishoff";1.0
17666;"PERSON";"Krause";"O";"bring on";"PERSON";"John Jackson Miller";1.0
17667;"ORGANIZATION";"CBG";"O";"host column in addition to";"PERSON";"Don";1.0
17668;"ORGANIZATION";"cbg";"O";"reprint installment by";"PERSON";"Will Eisner";1.0
17669;"PERSON";"Infobase";"O";"buy";"ORGANIZATION";"film";1.0
17670;"ORGANIZATION";"european Commission";"O";"of";"ORGANIZATION";"Seventh Framework Programme";1.0
17671;"ORGANIZATION";"european molecular Biology Laboratory";"O";"be in";"LOCATION";"Heidelberg";1.0
17672;"ORGANIZATION";"Google";"O";"acquire usenet discussion group archive from";"ORGANIZATION";"Deja.com";1.0
17673;"ORGANIZATION";"Index Medicus";"O";"be of";"ORGANIZATION";"National Library of Medicine";1.0
17674;"ORGANIZATION";"Wikipedia";"O";"be own by";"ORGANIZATION";"Wikimedia Foundation";1.0
17675;"LOCATION";"Wales";"O";"found";"ORGANIZATION";"Wikipedia";1.0
17676;"ORGANIZATION";"Rey Juan Carlos University";"O";"be in";"LOCATION";"Madrid";1.0
17677;"PERSON";"Katherine Ward";"O";"state";"ORGANIZATION";"Wikipedia";1.0
17678;"ORGANIZATION";"Congress";"O";"be in";"LOCATION";"United States";1.0
17679;"PERSON";"Subodh Varma";"O";"report for";"ORGANIZATION";"Economic Times";1.0
17680;"ORGANIZATION";"Harvard";"O";"at";"ORGANIZATION";"Berkman Center for Internet and Security";1.0
17681;"PERSON";"Jimmy Wales";"O";"be co-founder of";"ORGANIZATION";"Wikipedia";1.0
17682;"PERSON";"Seigenthaler";"O";"describe";"ORGANIZATION";"Wikipedia";1.0
17683;"PERSON";"Jimmy Wales";"O";"be co-founder of";"ORGANIZATION";"Wikipedia";1.0
17684;"PERSON";"Jimmy Wales";"O";"have describe";"ORGANIZATION";"Wikipedia";1.0
17685;"PERSON";"Michael Gorman";"O";"be of";"ORGANIZATION";"american Library Association";1.0
17686;"PERSON";"Amin Azzam";"O";"be at";"ORGANIZATION";"University of San Francisco";1.0
17687;"ORGANIZATION";"American National biography online";"O";"outperform";"ORGANIZATION";"Wikipedia";1.0
17688;"PERSON";"Andrew Orlowski";"O";"be critic of";"ORGANIZATION";"Wikipedia";1.0
17689;"PERSON";"Yaacov Lawrence";"O";"be of";"ORGANIZATION";"Kimmel Cancer Center";1.0
17690;"PERSON";"Mark Graham";"O";"be of";"ORGANIZATION";"Oxford Internet Institute";1.0
17691;"PERSON";"Taha Yasseri";"O";"be of";"ORGANIZATION";"University of Oxford";1.0
17692;"ORGANIZATION";"Wikipedia";"O";"shut down within";"LOCATION";"Germany";1.0
17693;"ORGANIZATION";"Wikipedia";"O";"be host by";"ORGANIZATION";"Wikimedia Foundation";1.0
17694;"ORGANIZATION";"Wikimedia Foundation";"O";"name";"PERSON";"Lila Tretikov";1.0
17695;"PERSON";"Jay Walsh";"O";"be of";"ORGANIZATION";"Wikimedia";1.0
17696;"ORGANIZATION";"Wikimedia Foundation";"O";"be such as";"ORGANIZATION";"Wikimedia Blog";1.0
17697;"PERSON";"Tom Simonite";"O";"be of";"ORGANIZATION";"MIT Technology Review";1.0
17698;"ORGANIZATION";"Wikipedia";"O";"receive quadriga mission along with";"PERSON";"Boris Tadi?";1.0
17699;"PERSON";"José Lages";"O";"be of";"ORGANIZATION";"University of Franche-Comté";1.0
