"id";"subject_type";"subject_value";"relation_type";"relation_value";"object_type";"object_value";"confidence"
16358;"ORGANIZATION";"United States Court of Appeals";"O";"be for";"ORGANIZATION";"Seventh Circuit";1.0
16359;"ORGANIZATION";"United States Court of Appeals";"O";"be for";"ORGANIZATION";"Ninth Circuit";1.0
16360;"ORGANIZATION";"United States Court of Appeals";"O";"be for";"ORGANIZATION";"Seventh Circuit";1.0
16361;"ORGANIZATION";"United States Court of Appeals";"O";"be for";"ORGANIZATION";"Ninth Circuit";1.0
16362;"ORGANIZATION";"Slang Tattooing Social";"O";"be ring of";"ORGANIZATION";"Handball Literature Blogs American Prison";1.0
16363;"PERSON";"Alexa";"O";"be co-founder/president website weread.com of";"PERSON";"Harish Abbott";1.0
16364;"ORGANIZATION";"Wikipedia";"O";"be article of";"ORGANIZATION";"Wikipedia";1.0
16365;"ORGANIZATION";"Wikipedia";"O";"be information page of";"ORGANIZATION";"Wikipedia";1.0
16366;"ORGANIZATION";"Legislature Parliament • Upper house Senate";"O";"be • prime minister of";"PERSON";"Patrick Allen";1.0
16367;"LOCATION";"Jamaica";"O";"be anglophone country in";"LOCATION";"Americas";1.0
16368;"LOCATION";"Xaymaca";"O";"be in";"LOCATION";"Arawakan";1.0
16369;"PERSON";"Christopher Columbus";"O";"claim";"LOCATION";"Jamaica";1.0
16370;"PERSON";"Ann";"O";"have";"PERSON";"Bay";1.0
16371;"ORGANIZATION";"Maroons";"O";"be to";"LOCATION";"Nova Scotia";1.0
16372;"ORGANIZATION";"House of Assembly";"O";"be in";"LOCATION";"Jamaica";1.0
16373;"PERSON";"Charles";"O";"be prince of";"LOCATION";"Jamaica";1.0
16374;"PERSON";"Elizabeth II";"O";"reside in";"LOCATION";"United Kingdom";1.0
16375;"ORGANIZATION";"House of Representatives";"ORGANIZATION";"of house be";"ORGANIZATION";"Lower House";1.0
16376;"ORGANIZATION";"people 's National Party";"ORGANIZATION";"'s party be";"ORGANIZATION";"PNP";1.0
16377;"PERSON";"Hanover Lucea Clarendon May Pen";"O";"be km of";"ORGANIZATION";"Cornwall County Capital km Middlesex County Capital km Surrey County Capital";1.0
16378;"ORGANIZATION";"Jamaica Defence Force";"O";"be small force of";"LOCATION";"Jamaica";1.0
16379;"ORGANIZATION";"british Army";"O";"from";"ORGANIZATION";"West India Regiment";1.0
16380;"ORGANIZATION";"Jamaica Defence Force";"O";"comprise";"ORGANIZATION";"Reserve Corps";1.0
16381;"LOCATION";"Jamaica";"O";"be largest island in";"LOCATION";"Caribbean";1.0
16382;"LOCATION";"Blue lagoon";"O";"be in";"LOCATION";"Portland";1.0
16383;"PERSON";"Gilbert";"O";"hit";"LOCATION";"Jamaica";1.0
16384;"PERSON";"Lee";"O";"scratch";"PERSON";"Perry";1.0
16385;"ORGANIZATION";"Papine High School";"O";"be in";"LOCATION";"Kingston";1.0
16386;"PERSON";"Chris Gayle";"O";"be renowned batsman from";"LOCATION";"Jamaica";1.0
16387;"ORGANIZATION";"the Mico Teachers ' College";"ORGANIZATION";"college be";"ORGANIZATION";"MICO University College";1.0
16388;"LOCATION";"Ian Fleming International Airport";"O";"be in";"LOCATION";"Boscobel";1.0
16389;"LOCATION";"Montego Freeport";"O";"be in";"LOCATION";"Montego Bay";1.0
16390;"ORGANIZATION";"Reynolds Pier";"O";"be in";"PERSON";"Ocho Rios";1.0
16391;"LOCATION";"Boundbrook Port";"O";"be in";"LOCATION";"Port Antonio";1.0
16392;"LOCATION";"Rockfort Power Station";"O";"be on";"LOCATION";"White River";1.0
16393;"ORGANIZATION";"Petroleum Corporation";"O";"be of";"LOCATION";"Jamaica";1.0
16394;"ORGANIZATION";"Petrojam Refinery";"O";"be in";"LOCATION";"Kingston";1.0
16395;"ORGANIZATION";"Port Authority";"O";"be of";"LOCATION";"Jamaica";1.0
16396;"PERSON";"Richardson";"O";"be ^ of";"LOCATION";"Jamaica";1.0
16397;"ORGANIZATION";"Moravian Church contribution";"O";"be in";"LOCATION";"Jamaica";1.0
16398;"ORGANIZATION";"Petroleum Corp";"O";"be of";"LOCATION";"Jamaica";1.0
16399;"LOCATION";"Germany";"O";"be in";"LOCATION";"Jamaica";1.0
16400;"ORGANIZATION";"Cabinet Office of the government of Jamaica";"O";"be of";"ORGANIZATION";"Jamaica Information Service";1.0
16401;"ORGANIZATION";"First Maroon War Tacky";"O";"be 's";"LOCATION";"Atlantic";1.0
16402;"ORGANIZATION";"CARIFORUM Organisation of Eastern Caribbean States";"ORGANIZATION";"of organisation be";"ORGANIZATION";"oecs";1.0
16403;"LOCATION";"Grenadines Samoa Seychelles Sierra Leone Singapore Solomon Islands South Africa Sri Lanka Swaziland Tanzania Tonga Trinidad and Tobago Tuvalu Uganda United Kingdom Vanuatu Zambia";"O";"be of";"PERSON";"Australia Ashmore";1.0
16404;"PERSON";"Patrick Liotard-Vogt";"O";"be chairman of";"PERSON";"Erik Wachtmeister Louise Wachtmeister";1.0
16405;"PERSON";"Harvey Weinstein";"O";"have";"ORGANIZATION";"Weinstein Company";1.0
16406;"PERSON";"Robert W";"O";"be coo of";"ORGANIZATION";"AOL Time Warner";1.0
16407;"LOCATION";"Jaiku";"O";"be from";"ORGANIZATION";"Wikipedia";1.0
16408;"LOCATION";"Jaiku";"O";"be found from";"LOCATION";"Finland";1.0
16409;"PERSON";"Jyri Engestrom";"O";"be co-founder of";"LOCATION";"Jaiku";1.0
16410;"ORGANIZATION";"AJAX";"O";"be tool of";"ORGANIZATION";"primer Pixel Play Books Games Movies & TV Music Newsstand Public DNS url Shortener Wallet Wifi Development";1.0
16411;"PERSON";"Al Gore Alan Eustace Alan Mulally Amit Singhal Ann Mather David Drummond Eric Schmidt Jeff Dean John Doerr John L";"O";"be for";"ORGANIZATION";"Google China Google";1.0
16412;"ORGANIZATION";"Google";"O";"be diaspora edmodo fanfou gab identi.ca micro.blog migme myspace plurk solaborate qzone tout viadeo vk xing defunct app.net of";"PERSON";"Sina Weibo Tencent Weibo";1.0
16413;"ORGANIZATION";"ning Wall.fm Tools Social";"O";"be lunarstorm meday meerkat mobli netlog orkut sixdegrees.com so.cl tvtag wretch yik yak white-label service of";"LOCATION";"Jaiku";1.0
16414;"ORGANIZATION";"WAYN";"O";"have";"PERSON";"Ward";1.0
16415;"PERSON";"kaixin";"O";"formally sue";"ORGANIZATION";"Qianxiang Group";1.0
16416;"ORGANIZATION";"Beijing Second Intermediate People 's Court";"O";"order";"LOCATION";"Oak Pacific";1.0
16417;"LOCATION";"China";"O";"have";"ORGANIZATION";"Social Networks";1.0
16418;"ORGANIZATION";"Chosun Ilbo Donga Ilbo JoongAng Ilbo Hankook Ilbo Kyunghyang Shinmun";"O";"be of";"LOCATION";"North Korea";1.0
16419;"ORGANIZATION";"International Council for Information Technology in Government Administration conference";"O";"be in";"LOCATION";"Korea";1.0
16420;"PERSON";"Nanha Kim";"O";"be of";"ORGANIZATION";"Graduate School of Ewha University";1.0
16421;"ORGANIZATION";"ning Wall.fm Tools Social";"O";"be lunarstorm meday meerkat mobli netlog orkut sixdegrees.com so.cl tvtag wretch yik yak white-label service of";"LOCATION";"Jaiku";1.0
16422;"PERSON";"David Manoukian";"O";"be key people of";"PERSON";"David Manoukian";1.0
16423;"LOCATION";"Highlands Region";"O";"be of";"LOCATION";"Papua New Guinea";1.0
16424;"ORGANIZATION";"Social Network";"ORGANIZATION";"further";"LOCATION";"U.S";1.0
16425;"ORGANIZATION";"MyHeritage Partners";"O";"be with";"ORGANIZATION";"EBSCO Information Services";1.0
16426;"PERSON";"Alexa";"O";"be website librarything.com of";"PERSON";"Tim Spalding";1.0
16427;"LOCATION";"LibraryThing";"O";"be develop by";"PERSON";"Tim Spalding";1.0
16428;"ORGANIZATION";"Amazon Digital Game Store Technology click Amazon Game Studios Amazon Robotics Carbonado Dynamo Graphiq Gurupa Lab double helix Games Obidos Liquavista Publishing Amazon Publishing Amazon Studios";"O";"be drive echo show video prime kindle kindle fire fire hd fire hdx fire tv fire phone kindle store music reflexive entertainment fire os of";"ORGANIZATION";"ComiXology Amazon";1.0
16429;"PERSON";"Polski Srpskohrvatski";"O";"be ????? français galego italiano nederlands ??? of";"ORGANIZATION";"language Català Dansk Deutsch Eesti Español esperanto";1.0
16430;"PERSON";"Kouchi";"O";"have";"PERSON";"Namakura Gatana";1.0
16431;"PERSON";"Chikara";"O";"be to";"PERSON";"Onna no Yo no naka";1.0
16432;"LOCATION";"Italy";"O";"import outside of";"LOCATION";"Japan";1.0
16433;"ORGANIZATION";"Nickelodeon";"O";"have";"PERSON";"kappa mikey";1.0
16434;"PERSON";"Osamu Tezuka";"O";"";"PERSON";"Jack";1.0
16435;"ORGANIZATION";"National Diet House of Councillors House of Representatives political party Self-Defense Forces Air Ground Maritime Government Cabinet Fiscal";"O";"be enforcement of";"ORGANIZATION";"lgbt Judiciary Law Law";1.0
16436;"LOCATION";"New Wave kitchen";"O";"be school bourekas brighton school british of";"LOCATION";"Berlin";1.0
16437;"PERSON";"Paul Sulyok";"O";"be key people of";"PERSON";"Ben Phillips";1.0
16438;"PERSON";"Nadav Shoval";"O";"be ishay green key people of";"PERSON";"Nadav Shoval";1.0
16439;"PERSON";"Jeff Taylor";"O";"be founder of";"ORGANIZATION";"Monster.com";1.0
16440;"ORGANIZATION";"Green Party";"O";"be of";"LOCATION";"England";1.0
16441;"PERSON";"Julius Kaggwa";"O";"be of";"LOCATION";"Uganda";1.0
16442;"ORGANIZATION";"Green Party";"O";"be of";"LOCATION";"England";1.0
16443;"LOCATION";"America";"O";"have";"ORGANIZATION";"Fun New Imperialism";1.0
16444;"ORGANIZATION";"University of Michigan";"O";"be on";"ORGANIZATION";"Tumblr";1.0
16445;"ORGANIZATION";"gender Minority Health Research";"O";"be at";"ORGANIZATION";"National Institutes of Health";1.0
16446;"ORGANIZATION";"Stonewall National Monument Rights";"O";"be in";"LOCATION";"New York City";1.0
16447;"ORGANIZATION";"Klein Grid Neuroscience prenatal";"O";"be scale of";"PERSON";"kinsey";1.0
16448;"LOCATION";"Nepal New Zealand South Africa Switzerland Uganda United Kingdom United States";"O";"be by";"ORGANIZATION";"Argentina Australia Chile China Colombia France Germany India Kenya Malta Mexico";1.0
16449;"ORGANIZATION";"Authority";"O";"be lust peace movement of";"LOCATION";"New York City";1.0
16450;"PERSON";"Eben Moglen";"O";"be law professor of";"ORGANIZATION";"Columbia University";1.0
16451;"PERSON";"Mark Zuckerberg";"O";"be ceo of";"ORGANIZATION";"Facebook";1.0
16452;"ORGANIZATION";"Python Python Software Foundation";"O";"be apache apsl artistic beerware boost bsd cc cddl epl gnu gpl gnu lgpl isc mit mpl ms-pl/rl of";"ORGANIZATION";"AFL";1.0
16453;"ORGANIZATION";"ning Wall.fm Tools Social";"O";"be lunarstorm meday meerkat mobli netlog orkut sixdegrees.com so.cl tvtag wretch yik yak white-label service of";"LOCATION";"Jaiku";1.0
16454;"ORGANIZATION";"Green Party";"O";"be of";"LOCATION";"England";1.0
16455;"PERSON";"Julius Kaggwa";"O";"be of";"LOCATION";"Uganda";1.0
16456;"ORGANIZATION";"Green Party";"O";"be of";"LOCATION";"England";1.0
16457;"LOCATION";"America";"O";"have";"ORGANIZATION";"Fun New Imperialism";1.0
16458;"ORGANIZATION";"University of Michigan";"O";"be on";"ORGANIZATION";"Tumblr";1.0
16459;"ORGANIZATION";"gender Minority Health Research";"O";"be at";"ORGANIZATION";"National Institutes of Health";1.0
16460;"ORGANIZATION";"Stonewall National Monument Rights";"O";"be in";"LOCATION";"New York City";1.0
16461;"ORGANIZATION";"Klein Grid Neuroscience prenatal";"O";"be scale of";"PERSON";"kinsey";1.0
16462;"LOCATION";"Nepal New Zealand South Africa Switzerland Uganda United Kingdom United States";"O";"be by";"ORGANIZATION";"Argentina Australia Chile China Colombia France Germany India Kenya Malta Mexico";1.0
16463;"ORGANIZATION";"Authority";"O";"be lust peace movement of";"LOCATION";"New York City";1.0
16464;"PERSON";"Mark Zuckerberg";"O";"be key people of";"PERSON";"Mark Zuckerberg Eduardo Saverin Andrew McCollum Dustin Moskovitz Chris Hughes";1.0
16465;"PERSON";"Zuckerberg";"O";"attend";"ORGANIZATION";"Harvard University";1.0
16466;"PERSON";"Zuckerberg";"O";"tell";"ORGANIZATION";"Crimson";1.0
16467;"ORGANIZATION";"crimson";"O";"be about";"PERSON";"Facemash";1.0
16468;"PERSON";"Cameron Winklevoss";"O";"be senior of";"ORGANIZATION";"Harvard";1.0
16469;"PERSON";"Divya Narendra";"O";"accuse";"PERSON";"Zuckerberg";1.0
16470;"PERSON";"Chris Hughes";"O";"join";"PERSON";"Zuckerberg";1.0
16471;"ORGANIZATION";"Facebook";"O";"move to";"LOCATION";"Palo Alto";0.15377660881103794
16472;"PERSON";"Peter Thiel";"O";"be co-founder of";"ORGANIZATION";"PayPal";1.0
16473;"ORGANIZATION";"eBay";"O";"become after";"ORGANIZATION";"Google";1.0
16474;"ORGANIZATION";"Facebook";"O";"second-most website in";"LOCATION";"U.S";1.0
16475;"ORGANIZATION";"Facebook";"O";"announce";"PERSON";"App Center";1.0
