"id";"subject_type";"subject_value";"relation_type";"relation_value";"object_type";"object_value";"confidence"
497;"ORGANIZATION";"country United States State Texas County Denton Incorporated Government";"ORGANIZATION";"•";"ORGANIZATION";"type Council";1.0
498;"PERSON";"John B";"O";"be militia captain of";"LOCATION";"Texas";1.0
499;"PERSON";"Peters";"O";"be of";"LOCATION";"Kentucky";1.0
500;"ORGANIZATION";"Texas Legislature";"O";"form";"LOCATION";"Denton County";1.0
501;"PERSON";"Denton";"O";"join";"ORGANIZATION";"North Central Texas Council of government";1.0
502;"ORGANIZATION";"North Texas State University Press";"O";"headquarter in";"LOCATION";"Denton";1.0
503;"ORGANIZATION";"North Texas State University";"O";"rename";"ORGANIZATION";"University of North Texas";1.0
504;"PERSON";"Burgess";"O";"become";"LOCATION";"U.S";1.0
505;"PERSON";"Denton";"O";"be in";"LOCATION";"Texas";1.0
506;"LOCATION";"Madaba";"O";"be in";"LOCATION";"Jordan";1.0
507;"LOCATION";"District";"O";"be in";"ORGANIZATION";"Texas Senate";1.0
508;"PERSON";"Denton";"O";"be serve by";"ORGANIZATION";"Denton Public Library";1.0
509;"ORGANIZATION";"University";"O";"be largest university in";"LOCATION";"North Texas";1.0
510;"ORGANIZATION";"University of North Texas The University of North Texas";"ORGANIZATION";"of university be";"ORGANIZATION";"UNT";1.0
511;"ORGANIZATION";"UNT Health Science Center";"O";"be in";"LOCATION";"Fort Worth";1.0
512;"ORGANIZATION";"University of North Texas";"O";"be at";"LOCATION";"Dallas";1.0
513;"ORGANIZATION";"Texas Woman 's University Texas Woman 's University";"ORGANIZATION";"'s university be";"ORGANIZATION";"TWU";1.0
514;"ORGANIZATION";"TWU";"O";"have";"ORGANIZATION";"College of Nursing";1.0
515;"ORGANIZATION";"Trinity Rail Express";"O";"be of";"LOCATION";"Fort Worth";1.0
516;"PERSON";"Jason Lee";"O";"be pitcher of";"ORGANIZATION";"MLB";1.0
517;"LOCATION";"Texas";"O";"be from";"ORGANIZATION";"Peters Colony";1.0
518;"ORGANIZATION";"Standard Broadcasting station";"O";"be of";"LOCATION";"United States";1.0
519;"ORGANIZATION";"Jackson School of Geosciences -lrb- University of Texas";"O";"be at";"LOCATION";"Austin";1.0
520;"LOCATION";"Texas twang";"O";"be in";"LOCATION";"Denton";1.0
521;"ORGANIZATION";"Belo";"ORGANIZATION";"acquire";"ORGANIZATION";"Denton Publishing Company";1.0
522;"ORGANIZATION";"Wikimedia Commons";"O";"be portal of";"LOCATION";"Dallas-Fort Worth";1.0
523;"PERSON";"Denton";"O";"be of";"LOCATION";"Denton";1.0
524;"ORGANIZATION";"handbook of Texas Online";"ORGANIZATION";"be of";"PERSON";"Mike Cochran";1.0
525;"PERSON";"John B";"O";"be of";"LOCATION";"Denton Denton County";1.0
526;"PERSON";"Sylvester Turner";"O";"be in";"LOCATION";"Texas";1.0
527;"ORGANIZATION";"Texas Cities in Texas Cities";"O";"be in";"LOCATION";"Dallas";1.0
528;"PERSON";"Edward Broussard";"O";"be • city manager of";"PERSON";"Martin Heines Darryl Bowdre Don Warren same Mezayek Ed Moore John Nix Mark Whatley";1.0
529;"PERSON";"Tyler";"O";"be home to";"ORGANIZATION";"Caldwell Zoo";1.0
530;"PERSON";"Carter Delleney";"O";"be city engineer of";"PERSON";"Keidric Trimble";1.0
531;"PERSON";"Michael Wilson";"O";"be development services engineer of";"PERSON";"Joan Roberson";1.0
532;"ORGANIZATION";"Texas House of Representatives";"O";"be by";"PERSON";"Matt Schaefer";1.0
533;"ORGANIZATION";"Texas Twelfth Court";"O";"be located in";"PERSON";"Tyler";1.0
534;"ORGANIZATION";"I";"ORGANIZATION";"parole";"ORGANIZATION";"Tyler District Parole Office";1.0
535;"LOCATION";"Riter Tower";"O";"include";"ORGANIZATION";"University of Texas Health Center";1.0
536;"ORGANIZATION";"Brook Hill School";"O";"be in";"LOCATION";"Bullard";1.0
537;"PERSON";"Tyler";"O";"be headquarters for";"ORGANIZATION";"Brookshire Grocery Company";1.0
538;"ORGANIZATION";"University of Texas";"O";"be at";"PERSON";"Tyler";1.0
539;"ORGANIZATION";"University of Texas Health Science Center";"O";"be at";"ORGANIZATION";"Tyler Tyler Junior College Recreation";1.0
540;"PERSON";"Tyler";"O";"be home to";"ORGANIZATION";"Caldwell Zoo";1.0
541;"LOCATION";"Oakwood Street";"O";"be inside";"LOCATION";"Cotton Belt Railroad Depot";1.0
542;"ORGANIZATION";"Healthcareedit Hospitals";"O";"include";"ORGANIZATION";"East Texas Medical Center";1.0
543;"ORGANIZATION";"University of Texas Health Center";"O";"be at";"PERSON";"Tyler";1.0
544;"ORGANIZATION";"First Baptist Church";"O";"be in";"ORGANIZATION";"Tyler Marvin United Methodist Church in Tyler Family Life Center of West Erwin Church of Christ";1.0
545;"PERSON";"Tyler";"O";"be seat of";"ORGANIZATION";"Catholic Diocese of Tyler";1.0
546;"ORGANIZATION";"catholic church";"O";"be in";"PERSON";"Tyler";1.0
547;"PERSON";"Beth El";"O";"adhere to";"ORGANIZATION";"Reform Judaism";1.0
548;"PERSON";"Tyler";"O";"be home to";"ORGANIZATION";"East Texas Islamic Society";1.0
549;"ORGANIZATION";"CBS KFXK-TV";"O";"be kytx of";"ORGANIZATION";"Newspaperedit Tyler morning Telegraph Televisionedit VHF/UHF Channel Call Letters Network KLTV ABC";1.0
550;"PERSON";"KOOI Varitey";"PERSON";"hit";"PERSON";"Jack";1.0
551;"ORGANIZATION";"Plyler";"O";"be case of";"ORGANIZATION";"Supreme Court";1.0
552;"ORGANIZATION";"University of Houston";"ORGANIZATION";"be of";"PERSON";"Patrick Mahomes";1.0
553;"PERSON";"Sherri DuPree";"O";"be of";"PERSON";"Eisley Richard Dobson";1.0
554;"ORGANIZATION";"Texas House of Representatives";"O";"be from";"PERSON";"Josh Byerly";1.0
555;"PERSON";"William Wayne Justice";"O";"be judge of";"LOCATION";"Smith County";1.0
556;"ORGANIZATION";"Texas House of Representatives";"O";"be from";"LOCATION";"Fort Worth";1.0
