"id";"subject_type";"subject_value";"relation_type";"relation_value";"object_type";"object_value";"confidence"
20484;"PERSON";"Barack Obama";"O";"be president of";"LOCATION";"US";1.0
20485;"ORGANIZATION";"Disney";"O";"have";"PERSON";"Alexander";1.0
20486;"ORGANIZATION";"CSM";"O";"partner with";"ORGANIZATION";"Harvard University";1.0
20487;"PERSON";"Howard Gardner";"O";"by";"ORGANIZATION";"GoodPlay Project";1.0
20488;"LOCATION";"sway Calloway";"O";"be anchor of";"ORGANIZATION";"MTV News";1.0
20489;"PERSON";"Susan Crown";"O";"be philanthropist of";"LOCATION";"Chicago";1.0
20490;"PERSON";"Edward Markey";"O";"be representative of";"LOCATION";"Massachusetts";1.0
20491;"PERSON";"Bill";"O";"be of";"ORGANIZATION";"California Senate";1.0
20492;"ORGANIZATION";"Maternal & Child Health Library";"O";"be at";"ORGANIZATION";"Georgetown University";1.0
20493;"LOCATION";"London";"O";"in court be";"ORGANIZATION";"Patents Court";1.0
20494;"LOCATION";"Lik-Sang";"O";"be by";"PERSON";"Nov";1.0
20495;"PERSON";"Steamworks";"O";"also provide";"PERSON";"Valve Anti-Cheat";1.0
20496;"PERSON";"valve";"O";"by";"PERSON";"Doug Lombardi";1.0
20497;"ORGANIZATION";"bfe";"O";"be with";"PERSON";"Steamworks";1.0
20498;"ORGANIZATION";"BT Group";"O";"file lawsuit against";"ORGANIZATION";"valve";1.0
20499;"PERSON";"Tom";"O";"have";"LOCATION";"US";1.0
20500;"PERSON";"Jess Cliffe IceFrog Sam Lantinga Mike Morasky Brad Muir Gabe Newell Robin Walker";"O";"be mod source filmmaker mod of";"ORGANIZATION";"Orange Box Alien Swarm Dota Technology Hardware Steam Controller Steam Machine Steam Link HTC Vive Software GoldSrc";1.0
20501;"PERSON";"Athene '' Boumaaza";"O";"be with";"PERSON";"Bachir";1.0
20502;"PERSON";"John";"O";"be game critic of";"ORGANIZATION";"YouTube";1.0
20503;"ORGANIZATION";"activate gaming community avenger for Humanitarian Emergency All-Out Response Team";"O";"be in";"LOCATION";"Ethiopia";1.0
20504;"PERSON";"Alok Kejriwal";"O";"be key people of";"LOCATION";"India";1.0
20505;"ORGANIZATION";"Ltd";"O";"be along with";"PERSON";"Mahesh Khambadkone";1.0
20506;"ORGANIZATION";"Sega Corporation";"O";"be of";"LOCATION";"Japan";1.0
