"id";"subject_type";"subject_value";"relation_type";"relation_value";"object_type";"object_value";"confidence"
20055;"LOCATION";"Brazil";"O";"be from";"ORGANIZATION";"Wikipedia";1.0
20056;"PERSON";"Bandeira Nacional";"O";"be à of";"ORGANIZATION";"Hino";1.0
20057;"ORGANIZATION";"Supreme Federal Court Cármen Lúcia Legislature National Congress • Upper house Federal Senate";"O";"be from";"LOCATION";"United Kingdom of Portugal";1.0
20058;"LOCATION";"Brazil";"O";"be found member of";"ORGANIZATION";"United Nations";1.0
20059;"LOCATION";"Brazil";"O";"be regional power in";"LOCATION";"Latin America";1.0
20060;"LOCATION";"United Kingdom";"O";"be with";"LOCATION";"Portugal";1.0
20061;"PERSON";"Dom João III";"O";"be of";"LOCATION";"Portugal";1.0
20062;"LOCATION";"Portugal";"O";"recognize";"LOCATION";"Brazil";1.0
20063;"PERSON";"Esplanada";"PERSON";"do";"PERSON";"Ministérios";1.0
20064;"PERSON";"Rousseff";"O";"be impeach by";"ORGANIZATION";"Congress";1.0
20065;"PERSON";"Serra";"PERSON";"do";"PERSON";"Órgãos";1.0
20066;"LOCATION";"Capivara National Park";"O";"be da of";"LOCATION";"Serra";1.0
20067;"LOCATION";"Brazil";"O";"have";"LOCATION";"Amazon Basin";1.0
20068;"ORGANIZATION";"Supreme Court";"O";"adopt";"ORGANIZATION";"Twitter";1.0
20069;"ORGANIZATION";"brazilian Army";"O";"be include";"ORGANIZATION";"Army Aviation command";1.0
20070;"ORGANIZATION";"Navy";"O";"be include";"ORGANIZATION";"Marine Corps";1.0
20071;"ORGANIZATION";"Navy";"O";"be base the of";"ORGANIZATION";"Natal Air Force";1.0
20072;"ORGANIZATION";"navy";"O";"be in";"LOCATION";"Latin America";1.0
20073;"LOCATION";"Sul Federal District Goiás Minas Gerais São Paulo Rio Janeiro Espírito Santo Paraná Santa Catarina Rio Grande";"O";"do";"ORGANIZATION";"Sul Argentina Bolivia Chile Colombia French Guiana Guyana Paraguay Peru Suriname Uruguay Venezuela States";1.0
20074;"LOCATION";"Brazil";"O";"be national economy in";"LOCATION";"Latin America";1.0
20075;"ORGANIZATION";"Rio Doce";"ORGANIZATION";"do acquire";"ORGANIZATION";"Inco";1.0
20076;"LOCATION";"Itaipu dam";"O";"be on";"LOCATION";"Paraná River";1.0
20077;"ORGANIZATION";"vls";"O";"be at";"ORGANIZATION";"Alcântara launch Center of brazilian space Agency";1.0
20078;"ORGANIZATION";"Ford";"O";"arrive in";"LOCATION";"Brazil";1.0
20079;"LOCATION";"Albert Einstein Hospital";"O";"be in";"LOCATION";"São Paulo";1.0
20080;"ORGANIZATION";"University";"O";"be best university in";"LOCATION";"Latin America";1.0
20081;"PERSON";"Dilma Rousseff";"O";"be former president of";"LOCATION";"Brazil";1.0
20082;"ORGANIZATION";"National Press";"O";"be by";"PERSON";"Regent Dom João";1.0
20083;"LOCATION";"Brazil";"O";"launch";"ORGANIZATION";"tv Brasil Internacional";1.0
20084;"LOCATION";"Bahia";"O";"be to";"LOCATION";"Paraíba";1.0
20085;"LOCATION";"Brazil";"O";"be of";"LOCATION";"Brazil";1.0
20086;"PERSON";"São José";"PERSON";"do";"PERSON";"Campos São Paulo";1.0
20087;"LOCATION";"Brazil";"O";"be only nation in";"LOCATION";"Americas";1.0
20088;"LOCATION";"South";"O";"be of";"LOCATION";"Brazil";1.0
